context,seed,training_pair,w_A_from_A,w_A_from_B,w_B_from_A,w_B_from_B
AB_context,2,150,0.12439909176573377,0.007841290545702078,0.20351444065725402,0.12435189624395851
AB_context,2,175,0.12440291261077893,0.0,0.20315706006257273,0.124346859370179
AB_context,2,200,0.12440575440959538,0.0,0.20975314888619156,0.12434015618250249
AB_context,2,225,0.12440616235557862,0.0,0.20797219267825667,0.12433999071679748
AB_context,2,250,0.12440395263660725,0.0,0.20211578799640142,0.12434516708344459
AB_context,2,275,0.12440556651753314,0.0,0.2052378964038561,0.12434164363598867
AB_context,2,300,0.12440281606623128,0.0,0.2019815753131864,0.1243467985796869
AB_context,2,325,0.12440523650182826,0.0,0.20651159035865294,0.12434195553306623
AB_context,2,350,0.12440478658909764,0.0,0.20891716125840407,0.12434199015956282
AB_context,2,375,0.12440588544333886,0.0,0.20787946908517285,0.1243404231452254
AB_context,2,400,0.12439958628669365,0.00782302266538512,0.20033736376175448,0.1243520560414815
AB_context,3,0,0.0,0.0,0.0,0.0
AB_context,3,25,0.1231082049243476,0.0,0.1518919392317478,0.12250606588923897
AB_context,3,50,0.1243863862191039,0.015462664948632706,0.19157259137032506,0.12432688115873503
AB_context,3,75,0.12440714986326501,0.0,0.20805940111461696,0.1243376568253058
AB_context,3,100,0.12440329044576724,0.0,0.2081589485600811,0.12434448664291219
AB_context,3,125,0.12440498396289391,0.0,0.20022937552145592,0.12434427070257144
AB_context,3,150,0.12440467167651807,0.0,0.20646026806575102,0.12434271621899706
AB_context,3,175,0.1243946963678218,0.026525441332911043,0.19790117680595679,0.12435974304145644
AB_context,3,200,0.12440385958732206,0.0,0.20463558062385856,0.12434465004971962
AB_context,3,225,0.12440687897587822,0.0,0.21004898466220978,0.12433814035633876
AB_context,3,250,0.12440057443547373,0.007835256868762523,0.20242418541692447,0.1243499632378909
AB_context,3,275,0.12440530549432867,0.0,0.20792838653769194,0.12434132405003279
AB_context,3,300,0.12440736238618452,0.0,0.21297693999130946,0.12433652409899927
AB_context,3,325,0.1243993124300599,0.007828895963185157,0.20135884017152927,0.12435239528457598
AB_context,3,350,0.12439749026781566,0.009391613833044406,0.1906643528511351,0.12435732372368183
AB_context,3,375,0.1244026821618771,0.002490096603879031,0.20573477644531363,0.12434580815389266
AB_context,3,400,0.12439400814382312,0.02011959959139631,0.18792998228150412,0.12436268889932513
AB_context,4,0,0.0,0.0,0.0,0.0
AB_context,4,25,0.12310627942230062,0.0,0.15554256405655356,0.1225040239946034
AB_context,4,50,0.12439301376211949,0.0,0.20016260584707124,0.12431421125316601
AB_context,4,75,0.12439996818252272,0.00783765324182146,0.20285819229497923,0.12434993402907124
AB_context,4,100,0.12440063460295724,0.013317728118580159,0.20587090065060054,0.12434822141530305
AB_context,4,125,0.12439968320855646,0.013317791940469748,0.1988697640155417,0.12435173413082717
AB_context,4,150,0.12439507372220199,0.02699759999709742,0.19299158533330674,0.12436086915590214
AB_context,4,175,0.1243966373180362,0.020168543596337504,0.19878572066136888,0.12435634341818652
AB_context,4,200,0.12439668277475141,0.013317744854725696,0.1961173036145292,0.12435671250264127
AB_context,4,225,0.12440485731241255,0.0,0.20513941833904176,0.12434266608170359
AB_context,4,250,0.12439200361781559,0.02591277467909923,0.19127397466075058,0.1243643527229352
AB_context,4,275,0.12440483621563694,0.0,0.20372953927388193,0.12434310349645443
AB_context,4,300,0.12440173468939135,0.002495770022359256,0.2062027922513334,0.12434732767510355
AB_context,4,325,0.12440495531524876,0.0,0.20851792356642845,0.12434174194218058
