deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,55,11,1.0994942565299501
1,55,12,1.403784911418806
1,55,13,1.2737400668570218
1,55,14,1.525987545760291
1,55,15,1.3860808870361556
1,56,1,1.0725256235561027
1,56,2,1.4833146940467665
1,56,3,1.6029920553240928
1,56,4,1.5245236347313165
1,56,5,1.2591691939947032
1,56,6,1.0081447254007474
1,56,7,1.2426945757859431
1,56,8,1.4266234709178882
1,56,9,0.9315126356606542
1,56,10,1.461128404402374
1,56,11,1.6334487827505613
1,56,12,1.5991294533903435
1,56,13,1.6073929328976824
1,56,14,1.2008785855626702
1,56,15,0.9538152725441544
1,57,1,1.298666021697384
1,57,2,1.6157183439707603
1,57,3,1.24091405259617
1,57,4,1.2591210022633252
1,57,5,1.15942682991646
1,57,6,1.2960511758454194
1,57,7,1.380012561093427
1,57,8,1.409758443141148
1,57,9,1.5881673114797603
1,57,10,0.962914082212292
1,57,11,1.34325240757383
1,57,12,1.2471450094688248
1,57,13,1.0947874833763898
1,57,14,1.0496796696681996
1,57,15,1.2160206760825345
1,58,1,1.6684527442359078
1,58,2,1.7821229059355337
1,58,3,1.3678956004017393
1,58,4,1.519847371208344
1,58,5,1.7735483378307435
1,58,6,0.9330815785967167
1,58,7,1.5187730944097024
1,58,8,1.3361797517015606
1,58,9,0.8431097619549479
1,58,10,1.328973390817959
1,58,11,1.6847444719426206
1,58,12,1.168558540182274
1,58,13,1.4622158645408436
1,58,14,1.4715995964134443
1,58,15,1.7154809086336684
1,59,1,1.3400507747354407
1,59,2,1.955779621337002
1,59,3,1.5890328276595655
1,59,4,0.9298711688328157
1,59,5,1.037013085361281
1,59,6,1.3051309982632617
